"","title","year","rating","genre","genre_numeric"
"1","Hell's Outpost",1954,6.9,"Action",1
"2","Crosscut",1996,5.5,"Action",1
"3","Sudden Death",1985,4.2,"Action",1
"4","Hostile Environment",1998,2.6,"Action",1
"5","Impatto mortale",1984,4,"Action",1
"6","Space Raiders",1983,3.9,"Action",1
"7","Naser Salah el Dine, El",1963,7.3,"Action",1
"8","Plan",2004,5.2,"Action",1
"9","Radar Men From the Moon",1952,4.5,"Action",1
"10","Tuareg - Il guerriero del deserto",1984,5.5,"Action",1
"11","Viking Sagas, The",1995,4.6,"Action",1
"12","Alienator",1989,2.8,"Action",1
"13","Tanks Are Coming, The",1951,5.8,"Action",1
"14","Last Marshal, The",1999,5.1,"Action",1
"15","Scanners III: The Takeover",1992,3.8,"Action",1
"16","Bagong buwan",2001,6.2,"Action",1
"17","Sky Bandits",1986,3.8,"Action",1
"18","Eve of Destruction",1991,4.5,"Action",1
"19","Yojimbo",1961,8.4,"Action",1
"20","Traitor's Heart",1999,2.7,"Action",1
"21","Missione speciale Lady Chaplin",1966,5.1,"Action",1
"22","Fang shiyu",1973,4.2,"Action",1
"23","Tarzan the Magnificent",1960,5.6,"Action",1
"24","Blind Fury",1989,5.6,"Action",1
"25","Wing Commander",1999,3.7,"Action",1
"26","Bloodfist II",1990,2.8,"Action",1
"27","Avventure di Mary Read, Le",1961,5.6,"Action",1
"28","Avalanche",1946,4.9,"Action",1
"29","Detroit 9000",1973,5.4,"Action",1
"30","Distant Justice",1992,3.8,"Action",1
"31","Immortal Combat",1994,3.7,"Action",1
"32","South of the Rio Grande",1932,4.6,"Action",1
"33","Strategia per una missione di morte",1979,3.7,"Action",1
"34","American Yakuza",1993,5.2,"Action",1
"35","Black Samson",1974,5.2,"Action",1
"36","Thunder III",1988,2.9,"Action",1
"37","Tarzan and the Leopard Woman",1946,6.1,"Action",1
"38","Kill Zone",1993,4.3,"Action",1
"39","Law and Order",1953,3.9,"Action",1
"40","Fantastici tre supermen, I",1967,7.9,"Action",1
"41","Killing Cars",1986,4.4,"Action",1
"42","Miami Connection",1986,3.7,"Action",1
"43","Swarm, The",1978,3.8,"Action",1
"44","Nankyoku monogatari",1983,6.9,"Action",1
"45","Lakeer - Forbidden Lines",2004,5.3,"Action",1
"46","Teufelscamp der verlorenen Frauen",1977,4.2,"Action",1
"47","Lost Battalion",1961,4.8,"Action",1
"48","Wong gok fung wan",1996,6.9,"Action",1
"49","Behind Enemy Lines",1986,4.3,"Action",1
"50","Aftershock",1990,3.5,"Action",1
"51","Ninja, the Violent Sorceror",1986,2.8,"Action",1
